サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,黒髪OPIキャンペーン購入
VANCOUNCIL Lucias(バンカウンシルルシアス),185-0012,東京都,国分寺市,本町3−6−6 キーパーク1F,042-325-6466,http://people-brand.com,
国立Ash,186-0002,東京都,国立市,東1-15-16 YUUWA KUNITACHI 1F,042-501-2250,https://ash-hair.com/,
hair make carina,186-0002,東京都,国立市,東1-14-11 ヴルーム国立2F,0120-82-4355,https://salon-de-bika.com/concept.html,
Trife by HAREKE,186-0004,東京都,国立市,中1-14-4 コンフォートイズミ 1F,042-505-8850,http://www.hareke.com/,
Burney fields,186-0004,東京都,国立市,中1-7-91,042-808-7674,,
BAMBINI,186-0004,東京都,国立市,中1-9-19 2F,0120-766-455,https://salon-de-bika.com/concept.html,
ヒバリヶ丘Ash,188-0001,東京都,西東京市,谷戸町3-27-5 桜WILL 1F,042-438-7707,https://ash-hair.com/,
田無Ash,188-0011,東京都,西東京市,田無町2-11-7,042-451-6677,https://ash-hair.com/,
美容室･理容室シエル田無店,188-0014,東京都,西東京市,芝久保町1-12-5イオンタウン田無芝久保店2F,042-463-1063,http://www.apollo-g.com,
Roseo,189-0013,東京都,東村山市,栄町1-3-32　ビュー久米川104,042-313-0705,https://hair-roseo.com/,
Live,189-0013,東京都,東村山市,栄町2-21-2　島田ビル3階,042-313-0902,https://hair-roseo.com/,
GRAND Mar's,190-0002,東京都,立川市,柴崎町3-13-22 カトルセゾンⅠ・1F,042-521-5500,http://www.grandmars.jp/,
daLia,190-0012,東京都,立川市,曙町2-9-4 野口ビル2F,042-512-9888,,無
daLia,190-0012,東京都,立川市,曙町２-9-4野口ビル２階,042-512-9888,,無
mani CREAREルミネ立川店(マニクレアーレ ルミネタチカワテン),190-0012,東京都,立川市,曙町2-1-1 立川ルミネ9階,042-527-5477,http://www.yokota-byg.co.jp,
HAREKE meridish,190-0012,東京都,立川市,曙町2-5-17イノタケビル6F,042-529-8080,http://www.hareke.com/,
rondine,190-0012,東京都,立川市,曙町2-31-9,050-8890-2020,https://rondine.jp/,
HAREKE 33 STREET,190-0014,東京都,立川市,緑町4-5 コトブキヤビル 2F(203),042-595-8023,http://www.hareke.com/,
chou chou by keshiki,190-0022,東京都,立川市,錦町1-3-10,042-595-6582,,無
LOVESTRUCK(ラブストラック),190-0022,東京都,立川市,錦町1−6−23,042-5127-7214,http://www.lovestruck.jp/,
花ト太陽ト雨,190-0022,東京都,立川市,錦町1-2-3 田坂ビル3F,042-519-3567,,
GRAZIE(グラッツィエ),190-0022,東京都,立川市,錦町2−1−5,042-521-3347,,
keshiki,190-0022,東京都,立川市,錦町1-3-14,042-595-7885,,
Dina by artina立川店,190-0022,東京都,立川市,錦町2-1-26 N building 3F,042-525-4777,,
Hair&Make Granleaf,190-0022,東京都,立川市,錦町１-1-24 1F,042-519-3532,https://beauty.hotpepper.jp/slnH000326229/,
LUXIS,190-0023,東京都,立川市,柴崎町2-11-21 rooms1F,042-595-7520,http://luxis-hair.jp/,有
立川Bees,190-0023,東京都,立川市,柴崎町3丁目7番16号 立川ワシントンホテル1F,042-526-0708,https://ash-hair.com/,無
pesca 立川,190-0023,東京都,立川市,柴崎町3−5−9 伊藤ビル1F,042-512-9411,www.pesca-hair.jp/salon,
HoekHoek(フークフーク),190-0023,東京都,立川市,柴崎町3-7-24 MYビルB1,042-595-7272,,
HAREKE loopidea,190-0023,東京都,立川市,柴崎町3-6-30中晋ビル1F,042-525-8080,http://www.hareke.com/,
keen(キーン),190-0023,東京都,立川市,柴崎町2-6-3,042-512-9927,http://newton2008.com/top.html,
NEWTON,190-0023,東京都,立川市,柴崎町3-5-21,042-548-5070,http://newton2008.com/top.html,
ZEST立川南口店(ゼストタチカワミナミグチテン),190-0023,東京都,立川市,柴崎町2-2-1 KSビルB1,042-524-8679,http://www.web-zest.co.jp/,
ZEST ange,190-0023,東京都,立川市,柴崎町2-1-6 エルタワータチ1F,042-510-2935,http://www.web-zest.co.jp/,
Hair&Make bis,190-0023,東京都,立川市,柴崎町南口ビル2F,042-540-3972,http://www.web-zest.co.jp/,
立川Ash,190-0023,東京都,立川市,柴崎町3丁目6番29号 アレアレア2 1F,042-523-5386,https://ash-hair.com/,
HAIR&MAKE hurra 立川店,190-0023,東京都,立川市,柴崎町3-10-10 TYビル立川1F,042-527-5528,https://hurra.co.jp/,
"flower,sun&rain",190-0142,東京都,あきる野市,伊奈891-7 ショッパーズ1F,042-596-0374,,
アポロランドシエル日ノ出店,190-0182,東京都,西多摩郡日の出町,大字平井字三吉野桜木237-3イオンモール日ノ出2F,042-588-8116,http://www.apollo-g.com,
カローズ 日ノ出町店,190-0182,東京都,西多摩郡日の出町237-3 イオン日の出モール3F,,042-588-8187,https://the-kid.co.jp,
美容室･理容室シエル瑞穂店,190-1203,東京都,西多摩郡瑞穂町,大字高根623THE MALLミズホ16 1F,042-556-6117,http://www.apollo-g.com,
日野Ash,191-0011,東京都,日野市,日野本町4−6−7 1F,042-585-8030,https://ash-hair.com/,
高幡不動Ash,191-0031,東京都,日野市,高幡1005-5 ミラージュ7 1F,042-591-3322,https://ash-hair.com/,
Ash 高幡不動店,191-0031,東京都,日野市,高幡1005-5ミラージュ7,042-591-3322,http://www.ash-hair.com/salondata/detail/314/,
豊田Ash,191-0062,東京都,日野市,多摩平2丁目3番18号 豊田駅前ビル1F,042-586-6855,https://ash-hair.com/,
Hair Garden Resort八王子高倉町店(ヘアーガーデンリゾートハチオウジタカクラチョウテン),192-0033,東京都,八王子市,高倉町50−7,042-656-4155,http://people-brand.com,
baboo 八王子店,192-0042,東京都,八王子市,中野山王1-11-16 イナゲヤ内2F,042-622-7730,http://www.baboo.cc/,
モードケイズ八王子店,192-0046,東京都,八王子市,明神町4-6-13八王子アリーナビル2F,042-660-1033,http://www.modeks.jp,
京王八王子Ash,192-0046,東京都,八王子市,明神町4丁目7番15号 落合ビル 2F,042-646-8816,https://ash-hair.com/,
LARGO HAIR WORKS,192-0046,東京都,八王子市,明神町4-10-910 JN パティオ2F,0426-49-1031,https://www.largo-hair.com/,
Roots hair garden,192-0063,東京都,八王子市,元横山町２－５－２　カルテットキャビン１F,042-649-9970,http://www.roots-hair-garden.jp/,
NUT'S 八王子,192-0081,東京都,八王子市,横山町12−8 ソエダビル2F,042-649-7825,www.pesca-hair.jp/salon,
ZEST emu,192-0081,東京都,八王子市,横山町11-3 大黒ビル1F,042-644-9695,http://www.web-zest.co.jp/,
Bellek,192-0081,東京都,八王子市,横山町3-8フィルパーク八王子横山町2階,042-649-3868,https://beauty.hotpepper.jp/slnH000351805/,
ZEST 八王子店,192-0082,東京都,八王子市,東町10-4 HKビル1F,042-645-5264,http://www.web-zest.co.jp/,
Hair and Make Leaf,192-0084,東京都,八王子市,三崎町4-12,042-621-0961,https://beauty.hotpepper.jp/slnH000126957/,
アポロガーデン理･美容室CIEL,192-0904,東京都,八王子市,子安町4-7-1サザンスカイタワー八王子3F,042-623-8841,http://www.apollo-g.com,
ROCCO,192-0904,東京都,八王子市,子安町1-24-5 デラパン子安ビル1F,042-649-4723,http://rocco-hairsalon.com/,
八王子ミナミ野Ash,192-0916,東京都,八王子市,ミナミ野1-2-1 アクロスモール八王子ミナミ野2階,042-632-0044,https://ash-hair.com/,
美容室ルアージュ狭間店,193-0941,東京都,八王子市,狭間町1462-1イトーヨーカドー八王子店3F,042-662-2050,http://www.apollo-g.com,
成瀬Ash,194-0011,東京都,町田市,成瀬ガ丘2-23-10 荒井ビル1F,042-799-6430,https://ash-hair.com/,
atelier Blue Magic,194-0013,東京都,町田市,原町田6-10-3-2F,042-726-8192,https://www.blue-magic.co/,有
Hair Resort DEARIUM,194-0013,東京都,町田市,原町田4-12-19ネオマイム町田ビル 1F,042-850-7666,http://dearium.jp/,
carin 町田,194-0013,東京都,町田市,原町田4−3−14白鳥ビル3F,042-850-8199,www.pesca-hair.jp/salon,
Monan,194-0013,東京都,町田市,原町田6-13-9 2F,042-860-6131,https://beauty.hotpepper.jp/slnH000362931/,
dot.plus,194-0013,東京都,町田市,原町田6-21-28 仁泉堂ビル3F,042-860-6818,http://www.dotjpn2013.com/,
bleu(ブルー),194-0013,東京都,町田市,原町田6−16−8 SOHHEIビル1F,042-739-4707,http://www.bleu.co.jp,
町田Ash,194-0013,東京都,町田市,原町田 4-9-16 1F･2F,042-727-7772,https://ash-hair.com/,
町田駅前通リ店Ash,194-0013,東京都,町田市,町田市原町田4-7-14 リンズワンビル1F,042-721-0090,https://ash-hair.com/,
artina 町田店,194-0013,東京都,町田市,原町田5-5-2キャピタルオシダ1F B,042-860-6638,,
Shelia by artina町田2号店,194-0013,東京都,町田市,原町田4-1-8太陽ビル5F,042-860-7454,,
Frais町田,194-0013,東京都,町田市,原町田6-17-7町田サークビル2/3F,042-723-9011,http://www.hair-frais.com/,
Nelle.by green,194-0013,東京都,町田市,原町田4-11-13天野ビル5F,042-860-6462,http://www.hairmake-nelle.com/,
Produce町田店,194-0013,東京都,町田市,原町田１丁目６ ２４,042-850-9229,http://www.produce-by-produce.com/,
equal by Produce町田駅前店,194-0013,東京都,町田市,原町田４丁目３−１４,042-860-6744,http://www.produce-by-produce.com/,
little near machida,194-0013,東京都,町田市,原町田4丁目5-8 いちご町田イーストビル5Ｆ,042-851-7015,http://anemone-salon.com/salon/little-near-machida/,
Hair&Make arts町田店,194-0021,東京都,町田市,中町1−1−3 町田リラビル3F,042-722-0323,https://beauty.hotpepper.jp/slnH000162947/,
mid hair,194-0021,東京都,町田市,中町1-15-11U&Eビル1F,042-850-9406,http://www.hairmake-mid.com/,
arts lita,194-0022,東京都,町田市,森野1−19−15 森ビル2F,042-721-2030,https://beauty.hotpepper.jp/slnH000191517/,有
IMAGE-A 町田店,194-0022,東京都,町田市,森野1-11-15 2F,042-710-0700,https://image-a.co.jp/,有
Hair&Make neutral Arch,194-0022,東京都,町田市,森野1-34-16-2F,042-727-0339,http://httneutral-arch.o.oo7.jp/index.html,無
shalu 町田店,194-0022,東京都,町田市,森野1-36-8 ロータスヴィレッジ町田1F,042-860-6350,https://beauty.hotpepper.jp/slnH000283922/,
dot.tokyo,194-0022,東京都,町田市,森野1-13-1 Qsビル3F,042-732-6008,http://www.dotjpn2013.com/,
Rosier by artina町田3号店,194-0022,東京都,町田市,森野1-15-12長谷川ビル3F,042-860-6553,,
INVASION,194-0031,東京都,町田市,森野1-36-14ビオレ町田ビル2F,042-729-1232,http://www.invasion.co.jp,
KENJE玉川学園,194-0041,東京都,町田市,玉川学園2-21-4,042-709-1825,https://www.kenji-group.co.jp/,
Produce成瀬店,194-0045,東京都,町田市,南成瀬１丁目９ １MUビル 1F,042-724-7283,http://www.produce-by-produce.com/,
サロン･ド･コウ,195-0053,東京都,町田市,能ヶ谷1-8-1 神蔵ビル2F,042-734-5318,http://salondekou.com/,
HIT STUDIO,195-0061,東京都,町田市,鶴川4-8-5,042-734-1220,http://salondekou.com/,
HONEY by Chord,196-0015,東京都,昭島市,昭和町1-14-19,042-519-6970,http://newton2008.com/top.html,
HONEY by chord,196-0015,東京都,昭島市,昭和町1-14-19 大貫ビル1F,042-519-6970,https://beauty.hotpepper.jp/slnH000351351/,
美容室･理容室シエル昭島店,196-0024,東京都,昭島市,宮沢町500-1ザ･ビッグ3F,042-500-7140,http://www.apollo-g.com,
Truth garden 拝島店(トゥルースガーデンハイジマテン),197-0003,東京都,福生市,熊川444-1 グランツ拝島セントラルステージ1F,042-551-6750,www.people-brand.com,
美容室･理容室シエル福生店,197-0021,東京都,福生市,東町5-1西友福生店5F,042-553-3799,http://www.apollo-g.com,
Shampoo Fussa,197-0021,東京都,福生市,東町2-1 五十番ビル1F,042-551-8410,http://www.hairmake-shampoo.com/,
美容室･理容室ヘアーホール･アポロアキル野店,197-0804,東京都,あきる野市,秋川1-17-1アキル野トウキュウ4F,042-550-4450,http://www.apollo-g.com,
Hair Garden Resort アキル野店(ヘアーガーデンリゾートアキルノテン),197-0804,東京都,あきる野市,秋川1-12-11,042-550-3667,www.people-brand.com,
J-SURE(ジェイシュール),198-0031,東京都,青梅市,師岡町4−13−1,0428-23-4466,http://j-sure.com/,有
美容室シエル河辺店,198-0036,東京都,青梅市,河辺町10-7河辺トウキュウAビル3F,042-822-6330,http://www.apollo-g.com,
hair&make muguet,202-0001,東京都,西東京市,ヒバリガ丘1-3,042-446-8826,,無
Blossomヒバリガ丘店,202-0001,東京都,西東京市,ヒバリガ丘1-4-3 ケイアイビル1F,042-438-8558,http://www.hairmake-blossom.com/,
LaLa by Route,202-0001,東京都,西東京市,ひばりが丘１丁目３-２６　小澤ビル１階 ,042-439-9390,https://beauty.hotpepper.jp/slnH000417784/,
hair salon MALLOW,202-0002,東京都,西東京市,ヒバリガ丘北4-3-29,042-438-6027,http://www.mallow-hair.com/,
PADOU,202-0005,東京都,西東京市,住吉町3-11-13,042-453-3300,,有
Blossom東久留米店,203-0053,東京都,東久留米市,本町1-3-1東久留米本町ビル2F,042-479-0056,http://www.hairmake-blossom.com/,
Truth GARDEN 小作(トゥルースガーデンオザク),205-0001,東京都,羽村市,小作台1−4−21 KTDビル1F,042-576-4868,http://people-brand.com,
TR Shampoo,205-0003,東京都,羽村市,緑ヶ丘5-10−51,042-555-2010,http://www.hairmake-shampoo.com/,有
Shampoo α,205-0011,東京都,羽村市,五ノ神1-8-9 小野ビル2F,042-555-4977,http://www.hairmake-shampoo.com/,有
Truth garden 羽村店(トゥルースガーデンハムラテン),205-0011,東京都,羽村市,五ノ神4-13-7 ルッソ渡邊1F,042-554-9666,www.people-brand.com,
hair salon ort,206-0002,東京都,多摩市,一ノ宮2-13-24,042-339-0910,https://www.ort-810.com/,
理容室ヘアータウンアポロ桜ガ丘店,206-0011,東京都,多摩市,関戸1-7-5聖蹟桜ヶ丘SC C館1F,042-372-9300,http://www.apollo-g.com,
聖蹟桜ヶ丘Ash,206-0011,東京都,多摩市,関戸2-40-27 SAラッシュビル1F,042-355-8977,https://ash-hair.com/,
LUCK京王多摩センター,206-0033,東京都,多摩市,落合1-10-1,042-310-0450,https://www.kenji-group.co.jp/,無
Three.,206-0033,東京都,多摩市,落合1-33-3,042-357-3155,https://www.kenji-group.co.jp/,
Hair Garden Resort 武蔵村山店(ヘアーガーデンリゾートムサシムラヤマテン),208-0013,東京都,武蔵村山市,大南1-1-1 光峰ビル1F,042-563-2288,www.people-brand.com,
Hair&Nail Guarendo 川崎,210-0001,神奈川県,川崎市,川崎区本町1丁目9-8 1F,044-201-9561,http://aquafeel-group.co.jp/shop/g_kawasaki/,有
carin 川崎,210-0006,神奈川県,川崎市,川崎区砂子2−11−25丸滝砂子川崎ビル4F,044-200-0133,www.pesca-hair.jp/salon,
川崎Ash,210-0006,神奈川県,川崎市,川崎区砂子2丁目11番29号 平松川崎ビル1F,044-211-2580,https://ash-hair.com/,
C-LOOP UNITED ATELIER,210-0006,神奈川県,川崎市,川崎区砂子1−1−4 市川金昌堂ビル2F/3F,044-244-9244,http://c-loopunited.jp/,
POSTA,210-0006,神奈川県,川崎市,川崎区砂子1-4-10,044-201-6195,http://c-loopunited.jp/,
merry kawasaki,210-0006,神奈川県,川崎市,川崎区砂子2-11-25-3F,044-246-3881,,
VIV,210-0007,神奈川県,川崎市,川崎区駅前本町12-1川崎駅前タワ−リバ−ク2F,044-200-7207,http://c-loopunited.jp/,
CANVAS.,210-0007,神奈川県,川崎市,川崎区駅前本町1-2 鈴庄ビル1･2階,044-223-3365,http://c-loopunited.jp/,
teeta,211-0004,神奈川県,川崎市,中原区新丸子東2-898-1,044-948-4030,http://www.teeta-hair.com,
START武蔵小杉店,211-0004,神奈川県,川崎市,中原区新丸子東2-897-11ラポール新丸子104,044-430-0280,http://secil-amour.com/,
GIFT,211-0005,神奈川県,川崎市,中原区新丸子町733シャンテ美里1F,044-738-6878,http://gift-hairsalon.net/,
･･･ing 平間店,211-0014,神奈川県,川崎市,中原区田尻町26 銚子塚ビル2F,044-522-0891,http://ing-since-1981.com/,
Cloe武蔵小杉,211-0016,神奈川県,川崎市,中原区市ノ坪128-1,044-863-9655,https://beauty.hotpepper.jp/bsln00192/,
carin 元住吉,211-0025,神奈川県,川崎市,中原区木月3−11−30冨士見ビル1F,044-387-6112,www.pesca-hair.jp/salon,
元住吉Ash,211-0025,神奈川県,川崎市,中原区木月1-21-6 小宮ビル2F,044-455-2668,https://ash-hair.com/,
RIRE,211-0025,神奈川県,川崎市,中原区木月1-33-31 プリム−ルNTB 2F,044-411-5556,http://c-loopunited.jp/,
IMAGE-A 武蔵小杉店,211-0063,神奈川県,川崎市中原区,小杉町1-403 小杉ビル2F,044-733-1811,https://image-a.co.jp/,有
武蔵小杉Ash,211-0063,神奈川県,川崎市,中原区小杉町3-486 S.N.B4F,044-711-3790,https://ash-hair.com/,
TRUST,211-0063,神奈川県,川崎市,中原区小杉3−432 森ビル2F,044-711-1140,http://c-loopunited.jp/,
gufo,212-0012,神奈川県,川崎市,幸区中幸町4-50-3エムエヌビル2F,044-280-6880,https://gufo.crayonsite.com/,
BLOOM,212-0053,神奈川県,川崎市,幸区下平間115 フロ−ラル京浜堂,044-533-7190,http://c-loopunited.jp/,
BLANCHE,212-0054,神奈川県,川崎市,幸区小倉1-1 パ−クシティ新川崎F-117,044-542-7275,http://c-loopunited.jp/,
VIV･ID,212-0058,神奈川県,川崎市,幸区鹿島田1-1-3 新川崎スクエア,044-556-3449,http://c-loopunited.jp/,
C-LOOP UNITED KASHIMADA,212-0058,神奈川県,川崎市,幸区鹿島田1-17-8 EKIST鹿島田ビル2F,044-542-5886,http://c-loopunited.jp/,
aj溝ノ口,213-0001,神奈川県,川崎市,高津区溝口1-21-6 カメラノモチダビル1F,044-813-3510,https://ash-hair.com/,
GROSS,213-0001,神奈川県,川崎市,高津区溝口1−6−1 クレール溝口1F,044-829-6470,http://c-loopunited.jp/,
SECILB溝ノ口店,213-0001,神奈川県,川崎市,高津区溝口3-1-7和幸ダイヤモンドビル2F,044-455-5730,http://work.salonboard.com/slnH000424716/,
･･･ing 二子新地店,213-0002,神奈川県,川崎市,高津区二子2-1-4 FSビル2F,044-833-4189,http://ing-since-1981.com/,
高津Ash,213-0002,神奈川県,川崎市,高津区二子5丁目2番1号 中興ビル･2 2F,044-822-7715,https://ash-hair.com/,
SECIL高津店,213-0002,神奈川県,川崎市,高津区ニ子4-8-3エストカルフール1F,044-820-8786,http://secil-amour.com/,
Regard for art,213-0002,神奈川県,川崎市,高津区二子4-1-5川田ビル2B,044-819-8222,http://secil-amour.com/,
Oggi（オッジ）溝の口店,213-0011,神奈川県,川崎市,高津区久本1-5-16 1F,044-854-1632,http://www.oggi.ne.jp/,
Hair salon Peissy 溝ノ口店,213-0033,神奈川県,川崎市,高津区下作延2-2-1-1F,044-820-6618,,無
IMAGE-A 溝ノ口店,213-0033,神奈川県,川崎市高津区,下作延2-2-15,044-860-5531,https://image-a.co.jp/,
稲田堤Ash,214-0001,神奈川県,川崎市,多摩区菅2-8-1 コートマックス1･2F,044-945-4388,https://ash-hair.com/,
LUCK読売ランド前,214-0037,神奈川県,川崎市,多摩区西生田3-9-27,044-959-6710,https://www.kenji-group.co.jp/,
RIKKA,214-0038,神奈川県,川崎市,多摩区生田7丁目2-14,044-933-1115,https://www.kenji-group.co.jp/,
shalu 新百合ヶ丘店,215-0004,神奈川県,川崎市,麻生区万福寺6-7-2 メディカルモリノビル1F,044-819-5785,https://beauty.hotpepper.jp/slnH000358574/,有
STYLE新百合ヶ丘,215-0004,神奈川県,川崎市,麻生区万福寺3-1-17,044-959-0601,https://www.kenji-group.co.jp/,
IMAGE-A 新百合ヶ丘店,215-0021,神奈川県,川崎市麻生区,上麻生1-3-2,044-953-3296,https://image-a.co.jp/,
IMAGE-A 新百合EST店,215-0021,神奈川県,川崎市麻生区,上麻生1-17-1,044-965-0050,https://image-a.co.jp/,
kiki by KENJE,215-0021,神奈川県,川崎市,麻生区上麻生1-17-2,044-969-5510,https://www.kenji-group.co.jp/,
鷺沼Ash,216-0004,神奈川県,川崎市,宮前区鷺沼3-2-8 グリシーヌ鷺沼 1F,044-877-1332,https://ash-hair.com/,
IMAGE-A 鷺沼店,216-0005,神奈川県,川崎市宮前区,土橋3-2-1,044-854-9688,https://image-a.co.jp/,
宮前平Ash,216-0005,神奈川県,川崎市,宮前区土橋1丁目1番地5第2タイラクビル101号室,044-855-5666,https://ash-hair.com/,
デュウ ヘア 宮前平店,216-0006,神奈川県,川崎市宮前区宮前平1-10-9,,044-855-8563,https://the-kid.co.jp,
IMAGE-A 宮前平店,216-0006,神奈川県,川崎市宮前区,宮前平1-10-6,044-888-1905,https://image-a.co.jp/,
APPiiS,220-0004,神奈川県,横浜市,西区北幸2-3-19,045-314-6661,http://appiis.com/,
Frais Tout,220-0004,神奈川県,横浜市,西区北幸2-10-50北幸山田ビル2F,045-620-3131,http://www.hair-frais.com/,
affect plus,220-0005,神奈川県,横浜市,西区南幸2-13-12 大和地所西口ビル401,045-311-4977,,
マーブルズ横浜店,220-0005,神奈川県,横浜市,西区南幸町2-7-8 銀座屋ビル7F,045-321-8559,,
Farb,220-0005,神奈川県,横浜市,西区南幸2-18-8 西澤ビル6F,045-324-8870,,
Oasis 横浜店,220-0005,神奈川県,横浜市,西区南幸1-13-10 第2ニューヨコハマビル5F,045-534-4049,https://beauty.hotpepper.jp/bsln00167/svcSA/,
レイ横浜,220-0005,神奈川県,横浜市,西区南幸2-16-11二幸ビル7F,045-620-2412,http://www.ley-hair.com/index.html,
横浜西口Ash,220-0005,神奈川県,横浜市,西区南幸2-15-20 YBS南幸ビル 1F,045-312-8701,https://ash-hair.com/,
HAUS.+KENJE,220-0005,神奈川県,横浜市,西区南幸2-12-13,045-324-0577,https://www.kenji-group.co.jp/,
STYLE横浜,220-0005,神奈川県,横浜市,西区南幸2-13-7,045-290-5818,https://www.kenji-group.co.jp/,
Lodat by little,220-0005,神奈川県,横浜市,南幸2-2-1-10 ラピス南幸1F,045-595-9633,http://anemone-salon.com/,
REGALOresort,220-0005,神奈川県,横浜市,西区南幸2−20−2共栄ビル1F,045-548-8441,http://mahalo-group.jp,
fish,220-0005,神奈川県,横浜市,西区南幸2-8-2原ビル 1/2F,045-624-8995,http://mahalo-group.jp,
Cottage,220-0005,神奈川県,横浜市,西区南幸2−20−2共栄ビル4F,045-313-5802,http://mahalo-group.jp,
Frais横浜,220-0005,神奈川県,横浜市,西区南幸2-17-6横浜西口第一ビル7F,045-324-7959,http://www.hair-frais.com/,
Frais ork,220-0005,神奈川県,横浜市,西区南幸2-8-9ブライト横浜201,045-314-2234,http://www.hair-frais.com/,
Alea by little横浜,220-0005,神奈川県,横浜市,西区南幸2丁目16-22 8F,045-322-7734,http://anemone-salon.com/salon/alea-by-little/,
linette yokohama by little,220-0005,神奈川県,横浜市,西区南幸２-６-２-i building５F,045-628-9877,http://anemone-salon.com/salon/linette-yokohama-by-little/,
Nine9,220-0011,神奈川県,横浜市,西区高島2-6-41 福島ビル5F,045-620-0377,http://www.nine9-hair.com/,
ヘアーカッティングガーデン ジャック･モアザン 横浜店,220-0011,神奈川県,横浜市西区,高島 2-18-1 ソゴウ横浜店3F,045-465-2374,https://hair.socie.jp/,
HAIR MAKE YUIGA,220-0020,神奈川県,横浜市,西区横浜町725 伊勢原五番館202,045-298-5424,htp://www.hm-yuiga.com,無
GRAPEVINES横浜,220-0072,神奈川県,横浜市,西区浅間町1-6-5横浜西口K&Kビル3F,045-314-9333,http://grapevines.jp,
carin 横浜,220-0073,神奈川県,横浜市,西区岡野1−13−13平野ビル4F,045-548-6230,www.pesca-hair.jp/salon,
AUGUST hair nail,220-0073,神奈川県,横浜市,西区岡野1-12-14横浜NYビル3F,045-624-8448,http://www.august8.jp/,
little yokohama,220-0073,神奈川県,横浜市,西区岡野1丁目12-15 ML横浜ビルディング 3F,045-594-7899,http://anemone-salon.com/salon/little-yokohama/,
新子安Ash,221-0013,神奈川県,横浜市,新子安1-2-4 オルトヨコハマビジネスセンタ- 1F,045-438-0515,https://ash-hair.com/,
God Hand横浜店,221-0056,神奈川県,横浜市,神奈川区金港町5-36東興ビル5F,045-548-5995,,
白楽Ash,221-0802,神奈川県,横浜市,神奈川区六角橋2-14-27 ニック･アーバンハイム白楽 1F,045-488-5977,https://ash-hair.com/,
東神奈川Ash,221-0822,神奈川県,横浜市,神奈川区西神奈川1-19-3 セザール東白楽1階,045-439-1707,https://ash-hair.com/,
G-THREE 東神奈川店,221-0822,神奈川県,横浜市,神奈川区西神奈川1-6-12SUGIURA東神奈川駅前ビル2F,045-548-8711,,
アウラ,221-0835,神奈川県,横浜市,神奈川区鶴屋町1-1-2 犬山ビル4F,045-322-0221,,
iro by MIIA横浜,221-0835,神奈川県,横浜市,神奈川区鶴屋町1-7-34 2F,045-620-8525,http://www.mao-hair.com/smart/,
横浜Ash,221-0835,神奈川県,横浜市,神奈川区鶴屋町2丁目21番9号 三善ビル1F,045-314-9090,https://ash-hair.com/,
another sky,221-0841,神奈川県,横浜市,神奈川区松本町1-3-52 反町コート,045-410-0665,http://anothersky.info/,有
反町Ash,221-0841,神奈川県,横浜市,神奈川区松本町1-2-3 反町ツインズ1F,045-314-3590,https://ash-hair.com/,
菊名Ash,222-0011,神奈川県,横浜市,港北区菊名7丁目1-11 ELM KIKUNA 2F,045-421-2033,https://ash-hair.com/,
PERS 大倉山店(パースオオクラヤマテン),222-0032,神奈川県,横浜市,港北区大豆戸町924-7-1F,045-717-7753,https://pershd.com/,
SORACO大倉山,222-0037,神奈川県,横浜市港北区大倉山1-29-17,,045-542-0310,https://the-kid.co.jp,
大倉山Ash,222-0037,神奈川県,横浜市,港北区大倉山3-29-6 MIRAKU大倉山ビル 1F,045-545-1377,https://ash-hair.com/,
teddy綱島店,223-0053,神奈川県,横浜市,港北区綱島西2-13-9 ヴィラ綱島B1,045-716-9555,,
IMAGE-A 綱島店,223-0053,神奈川県,横浜市港北区,綱島西2-3-2 ナイスアーバンステイツ綱島2F,045-546-8656,https://image-a.co.jp/,
teddy綱島店,223-0053,神奈川県,横浜市,港北区綱島西2-13-9 ヴィラ綱島B1,045-716-9555,https://beauty.hotpepper.jp/slnH000304871/,
シックシャビ—,223-0061,神奈川県,横浜市,港北区日吉2-3-8-2F,045-594-6475,http://chic-hairsalon.com,
日吉Ash,223-0062,神奈川県,横浜市,港北区日吉本町1-25-23 大成パールビル1F,045-561-9711,https://ash-hair.com/,
ACT JAM,223-0062,神奈川県,横浜市,港北区日吉本町1-15-5 1F,045-562-9964,http://c-loopunited.jp/,
シック,223-0062,神奈川県,横浜市,港北区日吉本町1-5-23日吉グランドビル1F,0120-534-651,http://chic-hairsalon.com,
sizuk,224-0003,神奈川県,横浜市都筑区,中川中央1-2-3 1F,045-530-0593,https://sizuk.amebaownd.com/,
センター北Bees,224-0003,神奈川県,横浜市,都筑区中川中央2-7-1 港北MINAMO 2F,045-592-9958,https://ash-hair.com/,
Hair Studio R,224-0032,神奈川県,横浜市都筑区,茅ケ崎中央23-22 トルナーレ都筑1F,045-944-2124,http://hs-r.net/,
CLOUD HAIR,224-0032,神奈川県,横浜市都筑区,茅ケ崎中央19-3 センター南ビル2F,045-943-9580,http://www.cloudhair.jp/,
JOYPLAZA タマプラーザテラス店(ジョイプラザ タマプラーザテラステン),225-0002,神奈川県,横浜市,青葉区美シガ丘1-1-2 タマプラーザテラスゲートプラザB2階,045-903-2172,http://www.joyplaza.co.jp/,無
Oggi（オッジ）たまプラーザ店,225-0002,神奈川県,横浜市,青葉区美しが丘1-11-10 ポリニアB,045-902-0057,http://www.oggi.ne.jp/,
IMAGE-A タマプラーザ店,225-0002,神奈川県,横浜市青葉区,美シガ丘1-4-16,045-909-0151,https://image-a.co.jp/,
