サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,CCVeil取り扱い有無
ヘアーハウス ルポNEED(ヘアーハウス ルポ ニード),034-0012,青森県,十和田市,東一番町4−3,0176-22-0374,http://artistar.biz/,有
IE HAIR DESIGN,039-2112,青森県,上北郡おいらせ町,中野平40-1,0176-22-0868,http://shimoda-aeonmall.com/shop/detail/206,有
ヘアーメイク ルポgrasa,034-0031,青森県,十和田市,東三番町7−15,0176-22-9050,http://artistar.biz/,有
ヘアーメイク ルポZEST,034-0041,青森県,十和田市,相坂小林17−15,0176-25-0803,http://artistar.biz/,有
Favorite Place(フェバリット プレイス),030-0843,青森県,青森市,浜田3-1-1 ドリームタウンALi2F,017-718-2033,http://www.kenji-ghg.jp/corporate/company/outline.html,無
ギンノハサミ alma(ギンノハサミ アルマ),030-0843,青森県,青森市,浜田字玉川196-10,017-752-0248,http://artistar.biz/,有
iRie hair(アイリーヘアー),030-0843,青森県,青森市,浜田1-14-1 イトーヨーカドー青森店 2F,017-762-3433,http://www.kenji-ghg.jp/corporate/company/outline.html,無
ギンオハサミ Laco(ギンオハサミ ラッソ),030-0855,青森県,青森市,北金沢1-13-14,017-776-3830,http://artistar.biz/,有
銀ノハサミ 下長店(ギンノハサミ シモナガテン),039-1164,青森県,八戸市,下長2-3-13,0178-21-2885,http://artistar.biz/,有
銀ノハサミ 南類家店(ギンノハサミ ミナミルイケテン),031-0004,青森県,八戸市,南類家1-3-11,0178-24-4626,http://artistar.biz/,有
ヘアー&メイク MONTBLANC(ヘアーアンドメイク モンブラン),031-0823,青森県,八戸市,湊高台6-1-26,0178-34-3836,http://artistar.biz/,有
Harmony(ハーモニー),031-0042,青森県,八戸市,十三日町5,0178-45-3577,http://style-heroine.com/,無
銀ノハサミ fina(ギンノハサミ フィーナ),031-0071,青森県,八戸市,沼館4-1-87,0178-47-1335,http://artistar.biz/,有
銀ノハサミ 売市店(ギンノハサミ ウルイチテン),031-0073,青森県,八戸市,売市3-1-26,0178-47-8855,http://artistar.biz/,有
銀ノハサミ Re@ve(ギンノハサミ レーヴ),039-1111,青森県,八戸市,東白山台3-1-1,0178-70-7535,http://artistar.biz/,有
ヘアー&メイク MONTBLANC 東白山台店(ヘアーアンドメイク モンブラン ヒガシハクサンダイテン),039-1111,青森県,八戸市,東白山台2-32-2,0178-80-7032,http://artistar.biz/,有
piespice(ピースパイス)志都呂,432-8066,静岡県,浜松市西区志都呂町5605 イオン浜松志都呂SC2F,,053-415-1317,https://the-kid.co.jp,有
Largo(ラルゴ),433-8105,静岡県,浜松市北区,三方原町944−5,053-439-3311,http://www.largo-beauty.com,無
Lita Hair,430-0841,静岡県,浜松市,南区寺脇町865−3,053-443-8776,http://lita-hair.com/,有
MUEBE,430-0928,静岡県,浜松市,中区板屋町102−10丸倉モータープール1F,053-450-5500,www.muebe.jp,有
bianco(ビアンコ),435-0042,静岡県,浜松市東区,篠ヶ瀬町1362−1,053-545-3587,http://bianco-hair.info/,無
美容室3mm 静岡店,420-0035,静岡県,静岡市,葵区七間町10-9シンワビル4FA号,054-251-5533,http://boozu.jp/,無
Mona(モナ) 清水店,424-0871,静岡県,静岡市清水上原1-6-16 イオン清水店2F,,0543-49-2975,https://the-kid.co.jp,無
ヘアー&メイク ルナルナ 富士宮店,418-0032,静岡県,富士宮市浅間町1-8 イオン富士宮SC2F,,0544-25-5790,https://the-kid.co.jp,有
ヘアー&ネイル フェリス 富士南店 松本mg,416-0934,静岡県,富士市鮫島118-10 イオン富士南SC1F,,0545-66-5361,https://the-kid.co.jp,無
MEC'CA,419-0201,静岡県,富士市,厚原775−1,0545-71-8771,http://www.mec-ca.co.jp/,無
PETZ本店,425-0057,静岡県,焼津市,下小田398−1,054-625-1919,http://petz.co.jp/,有
CA−PETZ,425-0045,静岡県,焼津市,祢宜島608−1,054-625-2772,http://petz.co.jp/,有
PETZ−na,426-0019,静岡県,藤枝市,天王町3−12−5,054-646-3100,http://petz.co.jp/,有
carina(カリーナ)焼津,425-0045,静岡県,焼津市祢宜島555 イオン焼津店1F,,054-656-2405,https://the-kid.co.jp,有
PETZ−chocolat,426-0034,静岡県,藤枝市,駅前3−14−14,054-689-4800,http://petz.co.jp/,有
boozu伊豆ノ国店,410-2114,静岡県,伊豆の国市,南條757-1,055-949-7023,http://boozu.jp/,無
boozu沼津店,410-0801,静岡県,沼津市,大手町2-9-3蓮池ビル1F,055-952-1707,http://boozu.jp/,無
VARIOUS hair & spa 三島,411-0841,静岡県,三島市,南本町6ビル2F,055-955-9898,http://www.vrs-hd.com/,有
Jスタイル 沼津店,410-0022,静岡県,沼津市大岡1330-1 ウォルマート西友沼津大岡店1F,,055-964-1007,https://the-kid.co.jp,無
VARIOUS hair design 函南,419-0123,静岡県,田方郡,函南町間宮617-4シティーパレス柿島1F,055-979-3660,http://www.vrs-hd.com/,有
アーク バイ グランブルー片町店,920-0981,石川県,金沢市片町2−2−2 片町きらら２Ｆ,,076-254-5029,https://the-kid.co.jp,無
Gran Blue(グランブルー)金沢,920-0333,石川県,金沢市無量寺4-80 アピタタウン金沢ベイC棟,,076-287-0654,https://the-kid.co.jp,無
グランブルー ヴィータ 金沢白山,924-0865,石川県,白山市倉光５−１４ ラスパ白山Ａ−１Ｆ,,076-287-6614,https://the-kid.co.jp,有
Lish hair,264-0025,千葉県,千葉市,若葉区都賀5丁目20−4,043-233-0201,https://beauty.hotpepper.jp/slnH000380213/,無
fleur(フルール),260-0027,千葉県,千葉市中央区,新田町5-10 ワカチクビル1F,043-203-2660,http://fleur-hair.jp/,可
美容室･理容室ルアージュアスミガ丘店,267-0066,千葉県,千葉市,緑区アスミガ丘7-1アスミガ丘ブランニューモール1F,043-205-7200,http://www.apollo-g.com,有
オレンジポップ蘇我店,260-0842,千葉県,千葉市,中央区南町2丁目7-15 RICHEヤマダ2F,043-209-3567,www.orangepop.net,無
aL-ter LieN,260-0013,千葉県,千葉市,中央区中央3-17-1千葉セントラルタワー2F,043-225-8778,https://www.alter-alter.com/,無
KINGS SEDONA,260-0806,千葉県,千葉市,中央区宮崎2-6-1,043-235-7801,http://www.kings-hair.jp/sedona/,無
オレンジポップ海浜幕張店,261-0021,千葉県,千葉市,美浜区ヒビ野1丁目14 aune MAKUHARI1F,043-299-2345,www.orangepop.net,無
aL-ter,266-0031,千葉県,千葉市,緑区オユミ野3-7-1芝コーポ5号館101,043-300-0202,https://www.alter-alter.com/,無
オレンジポップ検見川浜南口店,261-0012,千葉県,千葉市,美浜区磯辺5丁目9-1パークシティ検見川浜東ノ街1F,043-303-0345,www.orangepop.net,無
Hair Salon ROOTS 千葉店,260-0028,千葉県,千葉市,中央区新町3-4和田ビル6F,043-306-9995,http://roots.bz/,無
CRAFT ユーカリガ丘店,285-0858,千葉県,佐倉市,ユーカリガ丘4−2ミライアタワー1F,043-463-5033,https://www.total-beauty-craft.com/,有
aL-ter Rire,266-0031,千葉県,千葉市,緑区オユミ野3-19-4オーシャンビュー一番館104,043-497-6886,https://www.alter-alter.com/,無
オレンジポップ我孫子店,270-1166,千葉県,我孫子市,我孫子1-10-20ラ･カンパネラ2F,04-7136-7788,www.orangepop.net,無
ローザ柏,277-0922,千葉県,柏市大島田950−1 セブンパークアリオ２Ｆ,,047-138-5551,https://the-kid.co.jp,有
COVO,277-0005,千葉県,柏市,柏2-5-7 住友生命ビル1F,04-7170-2335,https://beauty.hotpepper.jp/slnH000229179/stylist/,無
オレンジポップ流山オオタカノ森店,270-0014,千葉県,流山市,東初石6丁目183-1ライフガーデン流山オオタカノ森2F,04-7178-5678,www.orangepop.net,無
オレンジポップ妙典店,272-0111,千葉県,市川市,富浜1丁目2-17 TO-MANAビル1F,047-300-3223,www.orangepop.net,無
オレンジポップ市川南口店,272-0033,千葉県,市川市,市川南1-2-2鈴木ビル1F,047-314-1233,www.orangepop.net,無
オレンジポップ市川北口店,272-0034,千葉県,市川市,市川1-7-6愛愛ビル1F,047-326-4748,www.orangepop.net,無
Hair Salon ROOTS 松戸店,271-0091,千葉県,松戸市,本町1-1松栄館ビル5F,047-364-7876,http://roots.bz/,無
TREAT HAIR DESIGN 浦安店,279-0002,千葉県,浦安市,北栄3−26−20ジュレ—ヴ1F,047-374-3022,https://www.treat-hair-design.com/,無
オレンジポップ新浦安店,279-0014,千葉県,浦安市,明海5-6-10ラ･フィネス新浦安1F,047-390-6789,www.orangepop.net,無
CALON by truth 八柱店,270-2253,千葉県,松戸市,日暮3-10-1三井ビル1F,047-391-7007,http://www.truth-style.com/,無
オレンジポップ南行徳店,272-0138,千葉県,市川市,南行徳1丁目18‐5フェリオ1F,047-395-3489,www.orangepop.net,無
オレンジポップ行徳店,272-0133,千葉県,市川市,行徳駅前1丁目24-1,047-398-4589,www.orangepop.net,無
オレンジポップ南船橋店,273-0012,千葉県,船橋市,浜町1丁目42-6,047-402-3133,www.orangepop.net,無
shalu 船橋店,273-0005,千葉県,船橋市,本町4-44-25 ルネライラタワー1-E,047-409-1075,https://beauty.hotpepper.jp/slnH000327590/,無
aL-ter Che'rie,274-0825,千葉県,船橋市,前原西2-19-1,047-409-4188,https://www.alter-alter.com/,無
ABLAZE(アブレイズ)船橋店,273-0005,千葉県,船橋市本町1-3-1 船橋フェイスビル3F,,047-409-7750,https://the-kid.co.jp,有
JAGARA 津田沼店,275-0016,千葉県,習志野市,津田沼4-8-15,047-411-5899,http://jagara.biz/,無
Hair Salon ROOTS 北口店,273-0005,千葉県,船橋市,本町6-2-2 プレジール船橋本町2F,047-411-6205,http://roots.bz/,無
ABLAZE新船橋店,273-0864,千葉県,船橋市北本町1-19-50 イオンタウン新船橋２F,,047−424-2010,https://the-kid.co.jp,有
Hair Salon ROOTS 南口店,273-0005,千葉県,船橋市,本町1-10-7ユーハーブビル4,047-433-6022,http://roots.bz/,無
オレンジポップ津田沼店,275-0028,千葉県,習志野市,秦ノ杜1丁目1-1 nanaビル1F,047-470-4567,www.orangepop.net,無
プラスワン津田沼店M,275-0016,千葉県,習志野市津田沼1-10-30 イトーヨーカ堂津田沼店８F,,047-481-8144,https://the-kid.co.jp,有
ブラオヴィーゼ 八千代村上店(店販),276-0028,千葉県,八千代市村上3788-1 フルルガーデン八千代台,,047-483-7620,https://the-kid.co.jp,有
Ingrove 長生店,299-4332,千葉県,長生郡,長生村大字金田3237ベイシア内1F,0475-32-6085,http://tvginfo.co.jp/,無
Ingrove ベイシア東金店,283-0003,千葉県,東金市,道庭495-2ベイシア内1階,0475-53-1553,http://tvginfo.co.jp/,無
CRAFT 成田店,286-0029,千葉県,成田市,ウィング土屋173番地,0476-20-0089,https://www.total-beauty-craft.com/,有
CRAFT 千葉ニュータウン店,270-1340,千葉県,印西市,中央南1-8,0476-40-0026,https://www.total-beauty-craft.com/,有
Cuaura(クオーラ)千葉ニュータウン,270-1350,千葉県,印西市中央北3-1-1 イオン千葉ニュータウン中央店2F,,0476-48-1177,https://the-kid.co.jp,無
モコモコ&モコモコ KIDS 新千葉店,270-1392,千葉県,印西市中央北3-2 イオン千葉ニュータウンSC3F,,0476-48-4729,https://the-kid.co.jp,無
CRAFT 印西西ノ原店,270-1334,千葉県,印西市,西ノ原5-8,0476-48-8805,https://www.total-beauty-craft.com/,有
CRAFT 富里店,286-0221,千葉県,冨里市,七栄474-5,0476-90-2007,https://www.total-beauty-craft.com/,有
TREAT HAIR DESIGN,272-0138,千葉県,市川市,南行徳3−1−6カーサワイベラルーチェ1F,047-712-6560,https://www.treat-hair-design.com/,無
CRAFT 旭店,289-2504,千葉県,旭市,二5415-3,0479-63-0067,https://www.total-beauty-craft.com/,有
CRAFT 横芝店,289-1732,千葉県,山武郡,横芝光町横芝1047,0479-80-0014,https://www.total-beauty-craft.com/,有
SUMI,550-0015,大阪府,大阪市,西区南堀江 1-24-26 樹々ガーデンアネックス 1F,06-7506-6251,http://www.redpepper-design.jp/sumi/index.html,無
Die Hare,559-0015,大阪府,大阪市,住之江区南加賀屋3丁目2,06-6682-3590,http://diehare.com/,無
Mina by CURACION,530-0033,大阪府,大阪市,北区池田町16-6 1F,06-6357-5599,http://curacion-salon.com/,無
LILIA,591-8004,大阪府,堺市,北区 蔵前町2丁16−54,072-246-9998,https://beauty.hotpepper.jp/slnH000223546/?vos=evhpbpg0004&pog=mt(b)ti(aud-141215104603:dsa-290795551147)dv(c)cr(195150740563)fi(3893923563)gi(26967718572)ci(470318172)lc(1009537)ps(1t1)nw(g)&gclid=EAIaIQobChMI3rms57mt3AIV2wMqCh08xQSlEAAYASAAEgLnv_D_BwE,無
trico JR茨木店,567-0031,大阪府,茨木市,春日2丁目1−12,072-631-8558,http://www.trico.jp/,有
rococo ange,551-0002,大阪府,大阪市,大正区三軒家東1-20-20,0120-14-6112,http://hairflap.com/,有
Champ 八戸ノ里店,577-0803,大阪府,東大阪市,下小阪5-6-1,0120-29-7775,http://champ-club.net/salonlist/yaenosato/,無
STYLISH HOME MITSUKO,574-0015,大阪府,大東市,野崎1-1-7,0120-33-1471,http://www.mitsuko.co.jp/,有
émZ Curatif(エムズ キュラティフ),569-0802,大阪府,高槻市,北園町14-4,0120-368-862,http://www.emzcuratif.com/,有
Champ 俊徳道店,577-0808,大阪府,東大阪市,横沼町3-3-7 ハイフィールド1F,0120-604-663,http://champ-club.net/salonlist/yaenosato/,有
クリスタルマジック ショパン,589-0012,大阪府,大阪狭山市,東茱萸木 1-591-1,0120-63-4136,https://www.cr-magic.com/,無
WARREN･TRICOMI NEW YORK ハービスエント大阪梅田店(ウォーレントリコミ ニューヨーク ハービスエント オオサカウメダテン),530-0001,大阪府,大阪市,北区梅田2丁目2−22 ハービスプラザエント6F,0120-639-797,http://warrentricomi.jp/,有
クリスタルマジック ブルー店,583-0856,大阪府,羽曳野市,白鳥1-4-13 1F中,0120-77-0461,https://www.cr-magic.com/,無
クリスタルマジック 伊賀店,583-0876,大阪府,羽曳野市,伊賀3-19-5,0120-88-2461,https://www.cr-magic.com/,無
COTERI,599-8236,大阪府,堺市,中区深井沢町3332,050-3759-9902,https://beauty.rakuten.co.jp/s5010014036/,無
STAGE NOE,536-0007,大阪府,大阪市,城東区成育1-6-6リア成育1F,06-4255-5206,https://stage-noe.com/,無
WORLD ORDER 梅田茶屋町店,530-0013,大阪府,大阪市,北区茶屋町1-52 コモドビル4F,06-4256-6790,http://worldorder-hair.com/,無
DOLCE 横堤店,538-0052,大阪府,大阪市,鶴見区横堤2-23-16,06-4257-0010,http://www.dolcehair.jp/shop_shigino/index.html,無
GARDEN hair,536-0014,大阪府,大阪市,城東区鴫野西4丁目1−12,06-4258-5621,https://loco.yahoo.co.jp/place/g-98C93DgQPwo/,有
Lis ブリエ,536-0021,大阪府,大阪市,城東区諏訪4丁目3-5,06-4258-6133,http://www.lis-charmer.com/,無
tre parrucchiere,550-0013,大阪府,大阪市,西区新町1-19-3,06-4390-3339,https://beauty.hotpepper.jp/slnH000272205/,有
Cache HORIE,550-0015,大阪府,大阪市,西区南堀江1-14-18,06-4390-8008,www.hms-cache.com,無
Couper de Doux(クペ･ドゥドゥ),550-0014,大阪府,大阪市,西区北堀江1−1−25 堀富ビル2F,06-4391-1777,http://www.couper.jp/,有
peaks hair(ピークスヘアー),550-0014,大阪府,大阪市,西区北堀江2−17−7,06-4391-8585,www.zephyr-hair.com,有
WiLL 心斎橋店,542-0083,大阪府,大阪市,中央区東心斎橋1-18-24 2F,06-4704-4044,http://www.will-style.com/,有
tiravento 南船場店(ティラベント ミナミセンバテン),542-0081,大阪府,大阪市,中央区南船場4−11−16 心斎橋コラムナービル2F,06-4704-5744,http://www.tiravento.jp/,無
chouchou(シュシュ),542-0086,大阪府,大阪市,中央区西心斎橋1-13-25 SURE西心斎橋9F,06-4708-3061,http://chouchou-tk.com/,有
Labyrinth(ラビリンス),542-0086,大阪府,大阪市,中央区西心斎橋1-10-35 アルシュ11ビル6F,06-4708-4574,http://labyrinth-hair.com/,有
INITY(アイニティ),542-0083,大阪府,大阪市,中央区東心斎橋1−18−14ミドウ心斎橋ビル2F,06-4708-5261,http://inity2012.com,無
zephyr(ゼファー),554-0012,大阪府,大阪市,此花区西九条2−3−19,06-4804-5200,www.zephyr-hair.com,有
Colette,555-0025,大阪府,大阪市,西淀川区 姫里2-17-34 ヴァンスタージュ姫里1F,06-4808-1113,https://colettehair.com/menu,有
sleek 吹田店(スリーク スイタテン),564-0027,大阪府,吹田市,朝日町23-8-1F,06-4860-3777,http://joybox-beauty.com/salon02.html,
XARA Luna hair(ザラ ルナ ヘアー),564-0051,大阪府,吹田市,豊津町1−41,06-4861-8211,,有
MAMAS十三店,532-0024,大阪府,大阪市,淀川区十三本町1-9-14 2F,06-6100-3666,http://www.papas-and-mamas.co.jp/shop/mama/mama-juso,有
MASHU Kitahorie店,550-0014,大阪府,大阪市,西区北堀江1-16-25,06-6110-7277,http://mashu.jp/,有
arp(アープ),550-0014,大阪府,大阪市,北区堂山町4−6 SERタワーズ7F,06-6131-0969,www.arp-net.com,有
douceur+LIM(ドゥスールプラスリム),530-0001,大阪府,大阪市,北区梅田 1−12−6 E-MA 4F,06-6131-5718,https://www.lessismore.co.jp/douceur,無
Rose梅田店(ロゼ ウメダテン),531-0072,大阪府,大阪市,北区豊崎3-10-21&F梅田3F,06-6136-6566,http://ks-hair.co.jp/rose/,有
La tienne igrek (ラ ティアンヌ イグレック,530-0001,大阪府,大阪市,北区梅田1−12−17 梅田スクエアビルディングB2F,06-6147-2824,www.latienneigrek.com,
ELMO,530-0014,大阪府,大阪市,北区鶴野町3-17 ファーストNビル5F,06-6147-5187,https://beauty.hotpepper.jp/slnH000351254/,無
Regottz dua putri(リゴッツ ドゥア プトゥリ),531-0071,大阪府,大阪市,北区中津3−4−35,06-6147-5432,www.regottz.com,
cherie(シェリ),560-0003,大阪府,豊中市,東豊中町4−7−8−1,06-6152-5855,www.richehair.jp,
bon hair&make tonarie店(ボン ヘアアンドメイク トナリエテン),565-0862,大阪府,吹田市,津雲台1-1-30 tonarie2F,06-6155-2800,www.beauty-bon.com/,
Chrono,533-0014,大阪府,大阪市,東淀川区豊新5丁目13番15号 豊新マルサンビル1F,06-6160-0101,http://www.chrono-hair.jp,無
DOLCE 鴫野店,536-0013,大阪府,大阪市,城東区鴫野東2-11-10,06-6167-5011,http://www.dolcehair.jp/shop_shigino/index.html,無
molle+,534-0021,大阪府,大阪市,都島区都島本通1-22-4,06-6180-8353,https://www.molleplus.com/,有
Rose Honmachi,541-0047,大阪府,大阪市,中央区淡路町3-2-13 zelkova5F,06-6201-6188,http://ks-hair.co.jp/rose/,有
Regottz本店(リゴッツ ホンテン),531-0071,大阪府,大阪市,北区中津1−7−13,06-6210-3456,www.regottz.com,
遊人CENTRAL,542-0085,大阪府,大阪市,中央区心斎橋筋2-6-9福穂ビル3F,06-6211-3040,http://www.hairmake-yujin.com/index.php,無
ALLRE HAIR 〜luce〜(アリュールヘアー ルーチェ),542-0086,大阪府,大阪市,中央区西心斎橋2-1-13福井ビル3F,06-6212-2607,http://www.h-allure.com/shop.html,
La fith hair room(ラフィス ヘア ルーム),542-0085,大阪府,大阪市,中央区心斎橋筋2丁目4番2号 グルカスシティービル4F-2,06-6212-6238,,無
QUEEN'S GARDEN by K-two add(クイーンズガーデン バイ ケートゥーアッド),542-0086,大阪府,大阪市,中央区西心斎橋2−4−2難波日興ビルディング2F･3F,06-6213-8833,http://www.k-two.jp/salons/add/,無
QUEEN'S GARDEN by K-two Shinsaibashi(クイーンズガーデン バイ ケートゥーシンサイバシ),542-0086,大阪府,大阪市,中央区西心斎橋2−4−2難波日興ビルディング2F･3F,06-6214-2129,http://www.k-two.jp/salons/shinsaibashi/,無
TICK-TOCK Model(チックタック モデル),542-0086,大阪府,大阪市,中央区西心斎橋2丁目18 中央区西心斎橋2丁目18−15,06-6214-2166,http://www.tick-tock.co.jp/,無
Blanc 天王寺,545-0053,大阪府,阿倍野区,松崎町2-3-60日光アベノ橋駅前ビル2F,06-6224-3535,http://ks-hair.co.jp/rose/,有
Baco.(バコ),542-0081,大阪府,大阪市,中央区南船場4−5−8 RASTER ON SHINSAIBASHI4F,06-6241-5022,www.air-f.co.jp,
Vision心斎橋店(ヴィジョン シンサイバシテン),542-0083,大阪府,大阪市,中央区東心斎橋1−19−6 2F,06-6241-6668,,有
splendeur by STAGE 心斎橋 (スプランドゥール バイ ステージ シンサイバシ),542-0081,大阪府,大阪市,中央区南船場4−13−8 エステート心斎橋503,06-6241-8600,http://www.splendeur-hair.com/,無
air feel(エアーフィール),542-0081,大阪府,大阪市,中央区南船場4−13−16 ウマイヤビル3F,06-6243-4507,www.air-f.co.jp,
LIM+LIM (リムプラスリム),542-0081,大阪府,大阪市,中央区南船場 4−12−8 関西心斎橋ビル2F,06-6245-0333,https://www.lessismore.co.jp/lim,無
Le conte,542-0083,大阪府,大阪市,中央区東心斎橋1丁目18−10 YERビル3F,06-6245-1156,https://beauty.hotpepper.jp/slnH000126690/,無
RUCCA(ルッカ),541-0059,大阪府,大阪市,中央区博労町4−3−4 F南船場Dressビル3−4階,06-6245-5620,http://www.rucca.jp/,無
trico 心斎橋店(トリコ シンサイバシテン),542-0085,大阪府,大阪市,中央区心斎橋筋1-1-10ラ･ポルト心斎橋 4F,06-6245-8088,http://www.trico.jp,有
Ort(オルト),542-0081,大阪府,大阪市,中央区南船場4−4−17−5F,06-6251-0604,www.chedis.com,
TITY(ティティ),541-0059,大阪府,大阪市,中央区博労町4−7−2,06-6251-7677,www.tity-hairsalon.com,
CARE SHINSAIBASHI (ケア シンサイバシ),542-0081,大阪府,大阪市,中央区南船場4−12−17 フロムファースト2F,06-6253-1235,http://www.care-info.co.jp/shinsaibashi,無
TOTAL MAKING SALON CLIP-CLOP,541-0051,,,,,,
",大阪府,大阪市,中央区備後町3-3-1 西島ビル1F2F ,06-6264-3111,https://home.rasysa.com/clip-clop/,無",,,,,,,
cime,542-0081,大阪府,大阪市,中央区南船場4丁目10-5,06-6282-4168,www.cime-hair.co.jp,無
uno pulir UMEDA(ウノプリール ウメダ),530-0013,大阪府,大阪市,北区茶屋町1−52 コモドビル 9F,06-6292-1116,http://www.uno-pulir.com/,有
trico 梅田茶屋町店,530-0013,大阪府,大阪市,北区茶屋町4-13 3F-4F,06-6292-5450,http://www.trico.jp/,有
Lumier de Mashu店,530-0015,大阪府,大阪市,北区中崎西2-4-12 梅田センタービル1F,06-6292-6106,http://mashu.jp/,有
GIEN UMEDA,530-0013,大阪府,大阪市,北区茶屋町4−13 5F,06-6292-6534,http://www.gienharvest.com/,無
ALLURE HAIR 〜elfi〜,530-0013,大阪府,大阪市,北区茶屋町6-23 松柏ビル6F,06-6292-6950,http://www.h-allure.com/shop.html,無
Maruquee de Mashu店,530-0013,大阪府,大阪市,北区茶屋町8-34,06-6292-7266,http://mashu.jp/,有
Vision梅田店(ヴィジョン ウメダテン),530-0013,大阪府,大阪市,北区茶屋町1−52 コモドビル8階,06-6292-7723,,有
MASHU Nu Chayamachi店,530-0013,大阪府,大阪市,北区茶屋町10-12 NU茶屋町4F,06-6292-8088,http://mashu.jp/,有
soin de brace calme西中島店,532-0011,大阪府,大阪市,淀川区西中島3-10-13 物産ビル2F,06-6305-6940,http://brace.co.jp/shop/%e8%a5%bf%e4%b8%ad%e5%b3%b6%e5%ba%97/,無
stage deco origin,564-0053,大阪府,吹田市,佐井寺南ガ丘8−11−1F,06-6310-7880,https://stage-deco.com/,無
Source-hair atelier梅田,530-0057,大阪府,大阪市,北区曽根崎2丁目15-29 ADビル梅田3F,06-6312-2312,,有
LIV Osaka,530-0051,大阪府,大阪市,北区太融寺町8-17梅田プラザビルB1F,06-6315-3811,http://ks-hair.co.jp/rose/,有
MAMAS淡路店,533-0032,大阪府,大阪市,東淀川区淡路4-4-7,06-6321-2753,http://www.papas-and-mamas.co.jp/shop/mama/mama-awaji,有
trico 上新庄店(トリコ カミシンジョウテン),533-0005,大阪府,大阪市,東淀川区瑞光1-7-10 ノルデンハイム瑞光 101,06-6323-8686,http://www.trico.jp,有
Moulins,533-0013,大阪府,大阪市,東淀川区豊里7-34-7 第2パールマンション1F,06-6324-5839,http://www.moulins.jp,無
beads,533-0023,大阪府,大阪市,東淀川区東淡路4-27-27 フィオーレ1F,06-6325-9013,http://beads-ism.jp/salon/,無
Rishe Ami,533-0014,大阪府,大阪市,東淀川区豊新5−19−18 ココチフォレストgn 1F,06-6328-0212,https://beauty.hotpepper.jp/slnH000296381/,無
MAMAS庄内店,561-0832,大阪府,豊中市,庄内西町3-7-41,06-6331-4002,http://www.papas-and-mamas.co.jp/shop/mama/mama-syonai,有
igrek,561-0831,大阪府,豊中市,庄内東町2−2−2イーグルビル2F,06-6333-1888,www.latienneigrek.com,無
Jeunesse 服部,561-0817,大阪府,豊中市,浜1−25−32 ハイツノア1F,06-6334-9490,www.bs-jeunesse.com,無
Jeunesse 千里山,565-0851,大阪府,吹田市,千里山西1−39−16 バビーズ千里山1F,06-6338-1022,www.bs-jeunesse.com,無
STAGE R.eco,564-0053,大阪府,吹田市,江ノ木町5-3 レーベンハウス2F,06-6338-7178,https://reco-salon.com/,無
Lunon by zephyr(ルノン バイ ゼファー),553-0001,大阪府,大阪市,福島区海老江2−1−4 アーバネクス野田阪神前,06-6341-5535,www.zephyr-hair.com,有
hair&make croix,530-0003,大阪府,大阪市,北区堂島2-1-40新堂島ビル3階,06-6343-5388,http://www.croix-hair.com/,無
Regottz tiga nenek(リゴッツティガネネック),530-0036,大阪府,大阪市,北区与力町7−12,06-6351-8813,www.regottz.com,
Source-hair atelier京橋,534-0024,大阪府,大阪市,都島区東野田町2-3-14 大京本社ビル7階,06-6352-5775,,有
HairMode KT Kyobashii(ヘアーモードケーティー キョウバシ),534-0025,大阪府,大阪市,都島区片町2-3-51 イオン京橋店3F,06-6354-2964,http://www.hmkt.co.jp/kyobashi/,有
JILL by GIEN,534-0024,大阪府,大阪市,都島区東野田町1−14−1 2F パレ豊和ビル,06-6356-1515,http://www.gienharvest.com/,無
carna hair(カルナヘアー),531-0071,大阪府,大阪市,北区中津1丁目10−11,06-6359-4439,http://www.carna2004.com/index.html,無
DOLCE 天満店,530-0022,大阪府,大阪市,北区浪花町4-26,06-6359-6601,http://www.dolcehair.jp/shop_shigino/index.html,無
La fith hair vail (ラフィス ヘア ヴェイル),530-0057,大阪府,大阪市,北区曽根崎2−15−24曽根崎東ビル8F,06-6362-7388,,無
trico 梅田店(トリコ ウメダテン),530-0018,大阪府,大阪市,北区小松原町3−3 OSビル10F,06-6363-7238,http://www.trico.jp,有
soin de brace上新庄店,533-0011,大阪府,大阪市,東淀川区大桐2-9-7 ラ･フォーレ大桐1F,06-6370-3712,http://brace.co.jp/shop/%e4%b8%8a%e6%96%b0%e5%ba%84%e5%ba%97/,無
REBECCA by CURACION(レベッカ バイ クラシオン),530-0015,大阪府,大阪市,北区中崎西3−2−20−1F,06-6371-5551,http://curacion-salon.com/salonrebecca.html,無
KAYLEE by CURACION,530-0015,大阪府,大阪市,北区中崎西3−2−20−1F,06-6371-5588,http://curacion-salon.com/,無
Cache NAKAZAKI,530-0021,大阪府,大阪市,北区浮田1-6-8-2F,06-6372-6666,www.hms-cache.com,無
遊人 ALEVEL,530-0012,大阪府,大阪市,北区芝田1-10-5 ケリービル3F,06-6372-8700,http://www.hairmake-yujin.com/index.php,無
La fith hair pur (ラフィス ヘア ピュール),530-0013,大阪府,大阪市,北区茶屋町12-6 エスパシオン梅田ビル2F北側,06-6373-2927,,無
k-two W(ケートゥー ダブリュー),530-0013,大阪府,大阪市,北区茶屋町1-52コモドビルB1F,06-6374-4565,http://www.k-two.jp/salons/umeda/,無
